	A01	A02	A08	A09	A107	A11	A13	A16	B03	B13	DC05	DC13	DC16	DC23	DC25	DC26	DC27	H01	H02	H03	H04	H11	H12	H13	H16	H19	H22	H23	H24	H27	H28	H31	H32	H34	H46	H47	H48	H49	H50	H54	H60	H63	H65	H69	H73	NC150	NC151	NC152	NC159	NC173	NC183	NC185	NC201	NC210	NC307	NC308	NC317	NC318	NC326	NCF004	NCF026	NCF041	NCF044	NCF051	NCF055	NCF106	NCF168	NCF171	NN0897	QM01	QM03	QM04	QM07	S02	S05	S08	S11	SK02	SK03	SK08	SK11	SK12	SK14	SK20	SK22	SK27	SK43	SK44	SK51	SK54	SK56
A01_NODE_14	0.0699427440484959					0.0		0.0280499946898064	0.0534096089213976															0.0							0.0	0.0013599533786562						0.0051911841216976																						0.0				0.0006353135447094							0.0	0.0							0.0								0.0		0.0		
A01_NODE_21	0.0							0.0																				0.0004133957604416																				0.0																																											
A01_NODE_23	26.5073355485208							5.549326132113307																				0.2816418825392517		3.235865224789749				0.5908269814289107																									0.0692863178871361													19.907867081507643																			
A01_NODE_24	0.5229310735682606					0.0008899922739695		0.0673834414198568		0.0106886123041715							0.061124262014495																																0.0034685794803379											0.02307180252735									0.2138832349277994				0.0018400447368303							0.0566106000379665		0.0016969871878824									
A01_NODE_25	0.1324525093779992							0.0074476889990917																				0.0251154336139364																																																															
A01_NODE_30	0.0							0.0																																																																																	0.0		
A01_NODE_36	0.2682004423443138							0.0314427182752872																																																																																			
A01_NODE_37	9.06540304635926							1.8052471634925449																																																																																			
A01_NODE_39	0.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0			0.0			0.0			0.0						0.0					0.0	0.0		0.0											0.0	0.0	0.0	0.0				0.0					0.0		0.0	0.0				0.0			0.0005009833576564		0.0											0.0		0.0				0.0		0.0		0.0	
A01_NODE_43	0.8148071888671478							0.0752256604169904																																																																																			
A01_NODE_44	0.0	0.0			0.0			0.0																													0.0									0.0	0.0													0.0			0.0	0.0196643640094894			0.0	0.0																		0.0		0.0	0.0010934286581431		
A01_NODE_45	0.0			0.0		0.0		0.0																		0.0		0.0											0.0									0.0												0.0	0.0									0.0		0.0	0.0		0.0												0.0				
A01_NODE_46	0.1011910991585257			0.0	0.0			0.027260185422045	0.0							0.0					0.0					0.0		0.0						0.0					0.0										0.0								0.0		0.0	0.0	0.0		0.0	0.0	0.0		0.0				0.0			0.0						0.0				0.0		0.0	0.0		0.0		
A01_NODE_47	0.0010793568032657							0.0													0.0178640713287047																							0.002218049990771		0.0133573981487779	0.021460182965273													0.0							0.0				0.6841954687844906															0.001136043049323					
A01_NODE_48	0.9874537372419862							0.1379639171276897																				0.0328183349250624																							0.2818741845589793									0.029024463033314				0.0010891384521346																											
A01_NODE_50	1.2657625390874896					0.1522276360565386		0.1369184664327184	0.0065501047976624	0.3017508759884955																								0.0											0.0					0.0											0.0223374989723602	0.0046365208767313	0.0	0.0							0.1992621723146716		0.0353764248394774	0.0			0.0227813197321116					0.0		0.0					0.0011661348882464	0.0	
A01_NODE_51	0.0187502265214383							0.0023275053997249																																																																																			
A01_NODE_52	0.0439153281448246		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0012130506775022			0.0075249292148692			0.0337131373254898				0.0	0.0011310008610223	0.0	0.0	0.0	0.0	0.0	0.0		0.0				0.0046888838178885		0.0035450302708026	0.0					0.0				0.0	0.0	0.0			0.0		0.0				0.0		0.0	0.0		0.0	0.0	0.0	0.0				0.0		0.0	0.0		0.0		0.0	0.0			0.0			0.0	0.0		0.0011851717222777	0.001169529234222	0.0	0.0	0.0	
A01_NODE_58	0.050914475057682							0.0012209326228019																																																																																			
A01_NODE_59	0.0							0.0						0.0			0.0				0.0							0.0			0.0						0.0																										0.0	0.0																							0.0				
A01_NODE_61	4.918931994978462							1.076855142731465																																																																																			
A01_NODE_62	0.0							0.0																																										0.0							0.0						0.0																								0.0		0.0		
A01_NODE_63	0.0							0.0																			0.0							0.0			0.0																						0.0					0.0										0.0																0.0	
